Hugo Symbol,Entrez Gene ID,GRCh37 Isoform,GRCh37 RefSeq,GRCh38 Isoform,GRCh38 RefSeq,Gene Type,# of occurrence within resources (Column J-P),OncoKB Annotated,MSK-IMPACT,MSK-HEME,FOUNDATION ONE,FOUNDATION ONE HEME,Vogelstein,COSMIC CGC (v99),Gene Aliases,gene,chromosome,start,end,strand
CDK6,1021,ENST00000265734,NM_001145306.1,ENST00000265734,NM_001145306.1,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,PLSTIRE,CDK6,7,92604921,92836591,-1
CDKN1B,1027,ENST00000228872,NM_004064.3,ENST00000228872,NM_004064.3,TSG,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"KIP1, P27KIP1",CDKN1B,12,12685498,12722373,1
CDKN2C,1031,ENST00000262662,NM_078626.2,ENST00000262662,NM_078626.2,TSG,6,Yes,Yes,Yes,Yes,Yes,No,Yes,INK4C,CDKN2C,1,50960745,50974634,1
CHEK2,11200,ENST00000328354,NM_007194.3,ENST00000404276,NM_007194.3,TSG,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"CHK2, HuCds1, PP1425, RAD53, bA444G7",CHEK2,22,28687738,28742422,-1
CRLF2,64109,ENST00000381566,NM_022148.2,ENST00000381566,NM_022148.4,ONCOGENE,6,Yes,Yes,Yes,No,Yes,Yes,Yes,"CRL2, TSLPR",CRLF2,Y,1190490,1212723,-1
CSF1R,1436,ENST00000286301,NM_005211.3,ENST00000286301,NM_005211.3,INSUFFICIENT_EVIDENCE,6,Yes,Yes,Yes,Yes,Yes,Yes,No,"C-FMS, CD115, CSFR, FMS",CSF1R,5,150053291,150113372,-1
CSF3R,1441,ENST00000361632,NM_000760.3,ENST00000361632,NM_000760.3,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"CD114, GCSFR",CSF3R,1,36465669,36483322,-1
CTCF,10664,ENST00000264010,NM_006565.3,ENST00000264010,NM_006565.3,TSG,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"CFAP108, FAP108",CTCF,16,67561831,67639189,1
CXCR4,7852,ENST00000241393,NM_003467.2,ENST00000241393,NM_003467.2,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"CD184, D2S201E, HM89, HSY3RR, LESTR, NPY3R, NPYY3R, fusin",CXCR4,2,136114349,136119177,-1
DDR2,4921,ENST00000367921,NM_006182.2,ENST00000367921,NM_006182.2,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"NTRKR3, TYRO10",DDR2,1,162630863,162787405,1
ERBB3,2065,ENST00000267101,NM_001982.3,ENST00000267101,NM_001982.3,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"HER3, LCCS2",ERBB3,12,56076799,56103505,1
ERBB4,2066,ENST00000342788,NM_005235.2,ENST00000342788,NM_005235.2,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"ALS19, HER4",ERBB4,2,211375717,212538841,-1
ERG,2078,ENST00000288319,NM_182918.3,ENST00000288319,NM_182918.3,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,erg-3,ERG,21,38380027,38661780,-1
ESR1,2099,ENST00000206249,NM_001122740.1,ENST00000206249,NM_001122740.1,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"ER-alpha, ESR, Era, NR3A1",ESR1,6,151651284,152129619,1
ETV6,2120,ENST00000396373,NM_001987.4,ENST00000396373,NM_001987.4,TSG,6,Yes,Yes,Yes,Yes,Yes,No,Yes,TEL,ETV6,12,11649623,11895386,1
FANCA,2175,ENST00000389301,NM_000135.2,ENST00000389301,NM_000135.2,TSG,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"FA-H, FAA, FACA, FANCH",FANCA,16,89726683,89816977,-1
FANCC,2176,ENST00000289081,NM_000136.2,ENST00000289081,NM_000136.2,TSG,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"FA3, FAC, FACC",FANCC,9,95099054,95426796,-1
FGFR1,2260,ENST00000425967,NM_001174067.1,ENST00000425967,NM_001174067.1,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"BFGFR, CD331, CEK, FLT2, H5, KAL2, N-SAM",FGFR1,8,38400215,38468834,-1
FGFR4,2264,ENST00000292408,NM_213647.1,ENST00000292408,NM_213647.1,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"CD334, JTK2",FGFR4,5,177086456,177098151,1
FLCN,201163,ENST00000285071,NM_144997.5,ENST00000285071,NM_144997.5,TSG,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"BHD, DENND8B, MGC17998, MGC23445",FLCN,17,17212206,17237203,-1
FUBP1,8880,ENST00000370768,NM_003902.3,ENST00000370768,NM_003902.3,TSG,6,Yes,Yes,Yes,Yes,No,Yes,Yes,FUBP,FUBP1,1,77944055,77979527,-1
GATA1,2623,ENST00000376670,NM_002049.3,ENST00000376670,NM_002049.3,INSUFFICIENT_EVIDENCE,6,Yes,Yes,Yes,No,Yes,Yes,Yes,"ERYF1, GATA-1, GF1, NF-E1, NFE1",GATA1,X,48786540,48794311,1
GATA2,2624,ENST00000341105,NM_032638.4,ENST00000341105,NM_032638.4,ONCOGENE_AND_TSG,6,Yes,Yes,Yes,No,Yes,Yes,Yes,NFE1B,GATA2,3,128479423,128493208,-1
H3-3A,3020,ENST00000366813,NM_002107.4,ENST00000366815,NM_002107.4,ONCOGENE,6,Yes,Yes,Yes,Yes,No,Yes,Yes,"H3.3A, H3F3, H3F3A",H3-3A,1,226061571,226073206,1
H3C2,8358,ENST00000244661,NM_003537.3,ENST00000621411,NM_003537.3,ONCOGENE,6,Yes,Yes,Yes,No,Yes,Yes,Yes,"H3/l, H3FL, HIST1H3B",H3C2,6,26031589,26032099,-1
HGF,3082,ENST00000222390,NM_000601.4,ENST00000222390,NM_000601.4,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"DFNB39, F-TCF, HGFB, HPTA",HGF,7,81699010,81770438,-1
IKZF1,10320,ENST00000331340,NM_006060.4,ENST00000331340,NM_006060.6,INSUFFICIENT_EVIDENCE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"Hs.54452, IKAROS, LyF-1, PPP1R92, ZNFN1A1, hIk-1",IKZF1,7,50303412,50405101,1
IRF4,3662,ENST00000380956,NM_002460.3,ENST00000380956,NM_002460.3,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"LSIRF, MUM1",IRF4,6,391739,411443,1
JUN,3725,ENST00000371222,NM_002228.3,ENST00000371222,NM_002228.3,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"AP-1, c-Jun",JUN,1,58776845,58784048,-1
KDM5A,5927,ENST00000399788,NM_001042603.1,ENST00000399788,NM_001042603.1,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"JARID1A, RBBP2",KDM5A,12,280057,389320,-1
KDR,3791,ENST00000263923,NM_002253.2,ENST00000263923,NM_002253.2,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"CD309, FLK1, VEGFR, VEGFR2",KDR,4,55078476,55125595,-1
KEAP1,9817,ENST00000171111,NM_203500.1,ENST00000171111,NM_203500.1,TSG,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"INrf2, KIAA0132, KLHL19, MGC10630, MGC1114, MGC20887, MGC4407, MGC9454",KEAP1,19,10486119,10503558,-1
KMT2A,4297,ENST00000534358,NM_001197104.1,ENST00000534358,NM_001197104.1,TSG,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"ALL-1, CXXC7, HRX, HTRX1, MLL, MLL1A, TRX1",KMT2A,11,118436456,118526832,1
KMT2C,58508,ENST00000262189,NM_170606.2,ENST00000262189,NM_170606.2,TSG,6,Yes,Yes,Yes,No,Yes,Yes,Yes,"HALR, KIAA1506, MLL3",KMT2C,7,152134922,152436644,-1
MAP2K2,5605,ENST00000262948,NM_030662.3,ENST00000262948,NM_030662.3,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"MEK2, PRKMK2",MAP2K2,19,4090317,4124216,-1
MAP2K4,6416,ENST00000353533,NM_003010.3,ENST00000353533,NM_003010.3,TSG,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"JNKK1, MEK4, MKK4, PRKMK4, SERK1",MAP2K4,17,12020828,12143830,1
MAPK1,5594,ENST00000215832,NM_002745.4,ENST00000215832,NM_002745.4,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"ERK2, MAPK2, PRKM1, PRKM2, p41mapk",MAPK1,22,21755537,21867680,-1
MDM2,4193,ENST00000462284,NM_002392.5,ENST00000258149,NM_002392.5,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"HDM2, MGC5370",MDM2,12,68808175,68845544,1
MDM4,4194,ENST00000367182,NM_002393.4,ENST00000367182,NM_002393.4,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"HDMX, MDMX",MDM4,1,204516369,204558120,1
MITF,4286,ENST00000394351,NM_000248.3,ENST00000394351,NM_000248.4,ONCOGENE_AND_TSG,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"MI, WS2, WS2A, bHLHe32",MITF,3,69738536,69968336,1
MTOR,2475,ENST00000361445,NM_004958.3,ENST00000361445,NM_004958.3,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"FLJ44809, FRAP, FRAP1, FRAP2, RAFT1, RAPT1",MTOR,1,11106531,11262556,-1
MUTYH,4595,ENST00000372115,NM_001048171.1,ENST00000372115,NM_001048171.1,TSG,6,Yes,Yes,Yes,Yes,Yes,No,Yes,MYH,MUTYH,1,45329163,45340893,-1
MYC,4609,ENST00000377970,NM_002467.4,ENST00000621592,NM_002467.4,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"MYCC, bHLHe39, c-Myc",MYC,8,127735434,127742951,1
MYCL,4610,ENST00000397332,NM_001033082.2,ENST00000397332,NM_001033082.2,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"LMYC, MYCL1, bHLHe38",MYCL,1,39895428,39902256,-1
MYCN,4613,ENST00000281043,NM_005378.4,ENST00000281043,NM_005378.4,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"MYCNOT, N-myc, NMYC, bHLHe37",MYCN,2,15938396,15947022,1
NKX2-1,7080,ENST00000354822,NM_001079668.2,ENST00000354822,NM_001079668.2,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"BCH, NKX2A, TITF1, TTF-1",NKX2-1,14,36516392,36521149,-1
NSD2,7468,ENST00000382891,NM_001042424.2,ENST00000382891,NM_001042424.2,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"KMT3G, MMSET, WHSC1",NSD2,4,1870559,1982207,1
NSD3,54904,ENST00000317025,NM_023034.1,ENST00000317025,NM_023034.1,INSUFFICIENT_EVIDENCE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"FLJ20353, KMT3F, WHISTLE, WHSC1L1",NSD3,8,38269704,38382279,-1
NTRK1,4914,ENST00000524377,NM_002529.3,ENST00000524377,NM_002529.3,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"MTC, TRKA",NTRK1,1,156815636,156881850,1
NTRK2,4915,ENST00000277120,NM_006180.3,ENST00000277120,NM_006180.3,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,TRKB,NTRK2,9,84668375,85095751,1
NTRK3,4916,ENST00000360948,NM_001012338.2,ENST00000360948,NM_001012338.2,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,TRKC,NTRK3,15,87859751,88256993,-1
PALB2,79728,ENST00000261584,NM_024675.3,ENST00000261584,NM_024675.3,TSG,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"FANCN, FLJ21816",PALB2,16,23603160,23641321,-1
PDCD1LG2,80380,ENST00000397747,NM_025239.3,ENST00000397747,NM_025239.3,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"B7-DC, Btdc, CD273, PD-L2, PDL2, bA574F11.2",PDCD1LG2,9,5510491,5571282,1
PDGFRB,5159,ENST00000261799,NM_002609.3,ENST00000261799,NM_002609.3,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"CD140b, JTK12, PDGFR, PDGFR1",PDGFRB,5,150113839,150158260,-1
PHF6,84295,ENST00000332070,NM_001015877.1,ENST00000332070,NM_001015877.1,TSG,6,Yes,Yes,Yes,No,Yes,Yes,Yes,"BFLS, BORJ, CENP-31, KIAA1823, MGC14797",PHF6,X,134373286,134428792,1
PIM1,5292,ENST00000373509,NM_002648.3,ENST00000373509,NM_002648.3,INSUFFICIENT_EVIDENCE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,PIM,PIM1,6,37170152,37175428,1
PRKAR1A,5573,ENST00000358598,NM_212471.2,ENST00000358598,NM_212471.2,TSG,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"CNC1, PRKAR1, TSE1",PRKAR1A,17,68511780,68551319,1
RAD21,5885,ENST00000297338,NM_006265.2,ENST00000297338,NM_006265.2,TSG,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"KIAA0078, SCC1, hHR21",RAD21,8,116845934,116874849,-1
RAF1,5894,ENST00000251849,NM_002880.3,ENST00000251849,NM_002880.3,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"CRAF, Raf-1, c-Raf",RAF1,3,12582101,12664201,-1
RARA,5914,ENST00000254066,NM_000964.3,ENST00000254066,NM_000964.3,INSUFFICIENT_EVIDENCE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,NR1B1,RARA,17,40309180,40357643,1
ROS1,6098,ENST00000368508,NM_002944.2,ENST00000368508,NM_002944.2,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"MCF3, ROS, c-ros-1",ROS1,6,117287353,117425942,-1
RUNX1,861,ENST00000300305,NM_001754.4,ENST00000300305,NM_001754.4,TSG,6,Yes,Yes,Yes,No,Yes,Yes,Yes,"AML1, AMLCR1, CBFA2, PEBP2A2",RUNX1,21,34787801,36004667,-1
SDHA,6389,ENST00000264932,NM_004168.2,ENST00000264932,NM_004168.2,TSG,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"FP, SDH2, SDHF",SDHA,5,218274,257083,1
SDHB,6390,ENST00000375499,NM_003000.2,ENST00000375499,NM_003000.2,TSG,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"SDH, SDH1",SDHB,1,17018664,17054151,-1
SDHC,6391,ENST00000367975,NM_003001.3,ENST00000367975,NM_003001.3,TSG,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"CYB560, PGL3, cybL",SDHC,1,161314381,161363206,1
SDHD,6392,ENST00000375549,NM_003002.3,ENST00000375549,NM_003002.3,TSG,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"PGL, PGL1, cybS",SDHD,11,112086824,112120016,1
SOX2,6657,ENST00000325404,NM_003106.3,ENST00000325404,NM_003106.3,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,,SOX2,3,181711925,181714436,1
SPEN,23013,ENST00000375759,NM_015001.2,ENST00000375759,NM_015001.2,TSG,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"KIAA0929, MINT, RBM15C, SHARP",SPEN,1,15836095,15940456,1
SRC,6714,ENST00000358208,NM_198291.2,ENST00000358208,NM_198291.2,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"ASV, SRC1, c-src",SRC,20,37344673,37406050,1
SRSF2,6427,ENST00000359995,NM_003016.4,ENST00000359995,NM_003016.4,INSUFFICIENT_EVIDENCE,6,Yes,Yes,Yes,No,Yes,Yes,Yes,"PR264, SC-35, SC35, SFRS2, SFRS2A",SRSF2,17,76734115,76737395,-1
STAT3,6774,ENST00000264657,NM_139276.2,ENST00000264657,NM_139276.2,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,APRF,STAT3,17,42313324,42388568,-1
SUFU,51684,ENST00000369902,NM_016169.3,ENST00000369902,NM_016169.3,TSG,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"PRO1280, SUFUH, SUFUXL",SUFU,10,102503952,102633535,1
SYK,6850,ENST00000375746,NM_003177.5,ENST00000375746,NM_003177.5,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,,SYK,9,90801579,90898549,1
TENT5C,54855,ENST00000369448,NM_017709.3,ENST00000369448,NM_017709.3,TSG,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"FAM46C, FLJ20202",TENT5C,1,117606048,117628389,1
TGFBR2,7048,ENST00000295754,NM_003242.5,ENST00000295754,NM_003242.6,TSG,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"MFS2, TBR-ii, TBRII",TGFBR2,3,30606478,30694249,1
TMPRSS2,7113,ENST00000398585,NM_001135099.1,ENST00000398585,NM_001135099.1,INSUFFICIENT_EVIDENCE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,PRSS10,TMPRSS2,21,41464296,41531116,-1
TNFRSF14,8764,ENST00000355716,NM_003820.2,ENST00000355716,NM_003820.2,TSG,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"ATAR, CD270, HVEA, HVEM, LIGHTR",TNFRSF14,1,2554244,2565382,1
TSC2,7249,ENST00000219476,NM_000548.3,ENST00000219476,NM_000548.3,TSG,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"LAM, PPP1R160, TSC4, tuberin",TSC2,16,2047345,2089491,1
XPO1,7514,ENST00000401558,NM_003400.3,ENST00000401558,NM_003400.3,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"CRM-1, CRM1, emb",XPO1,2,61476032,61538753,-1
AKT3,10000,ENST00000263826,NM_005465.4,ENST00000263826,NM_005465.4,ONCOGENE,5,Yes,Yes,Yes,Yes,Yes,No,No,"PKBG, PRKBG, RAC-gamma",AKT3,1,243488233,243851079,-1
ARAF,369,ENST00000377045,NM_001654.4,ENST00000377045,NM_001654.4,ONCOGENE,5,Yes,Yes,Yes,Yes,Yes,No,No,ARAF1,ARAF,X,47561182,47571921,1
ARID1B,57492,ENST00000346085,NM_020732.3,ENST00000647938,NM_020732.3,TSG,5,Yes,Yes,Yes,No,No,Yes,Yes,"6A3-5, BAF250b, DAN15, ELD/OSA1, KIAA1235, p250R",ARID1B,6,156776020,157210779,1
AURKA,6790,ENST00000312783,NM_003600.2,ENST00000312783,NM_003600.2,ONCOGENE,5,Yes,Yes,Yes,Yes,Yes,No,No,"AIK, ARK1, AurA, BTAK, PPP1R47, STK15, STK6",AURKA,20,56369382,56392566,-1
AURKB,9212,ENST00000585124,NM_004217.3,ENST00000585124,NM_004217.3,ONCOGENE,5,Yes,Yes,Yes,Yes,Yes,No,No,"ARK2, Aik2, AurB, IPL1, PPP1R48, STK12, STK5",AURKB,17,8204335,8210634,-1
AXL,558,ENST00000301178,NM_021913.4,ENST00000301178,NM_021913.4,ONCOGENE,5,Yes,Yes,Yes,Yes,Yes,No,No,"JTK11, Tyro7, UFO",AXL,19,41219174,41261766,1
BCL10,8915,ENST00000370580,NM_003921.4,ENST00000648566,NM_003921.4,TSG,5,Yes,Yes,Yes,No,Yes,No,Yes,"CIPER, CLAP, c-E10, mE10",BCL10,1,85265776,85276632,-1
BCORL1,63035,ENST00000218147,,ENST00000218147,NM_021946.4,TSG,5,Yes,No,Yes,Yes,Yes,No,Yes,"CXorf10, FLJ11362",BCORL1,X,129981107,130058071,1
BCR,613,ENST00000305877,NM_004327.3,ENST00000305877,NM_004327.3,ONCOGENE,5,Yes,No,Yes,Yes,Yes,No,Yes,"ALL, BCR1, CML, D22S11, D22S662, PHL",BCR,22,23179704,23318037,1
BIRC3,330,ENST00000263464,NM_182962.2,ENST00000263464,NM_182962.2,ONCOGENE_AND_TSG,5,Yes,Yes,Yes,No,Yes,No,Yes,"API2, MALT2, MIHC, RNF49, c-IAP2, cIAP2, hiap-1",BIRC3,11,102317484,102339403,1
BLM,641,ENST00000355112,NM_000057.2,ENST00000355112,NM_000057.2,TSG,5,Yes,Yes,Yes,No,Yes,No,Yes,"BS, RECQ2, RECQL3",BLM,15,90717340,90816166,1
BTG1,694,ENST00000256015,NM_001731.2,ENST00000256015,NM_001731.2,TSG,5,Yes,No,Yes,Yes,Yes,No,Yes,APRO2,BTG1,12,92140278,92145846,-1
CDK8,1024,ENST00000381527,NM_001260.1,ENST00000381527,NM_001260.1,ONCOGENE,5,Yes,Yes,Yes,Yes,Yes,No,No,K35,CDK8,13,26253891,26420982,1
CDKN2B,1030,ENST00000276925,NM_004936.3,ENST00000276925,NM_004936.3,TSG,5,Yes,Yes,Yes,Yes,Yes,No,No,"CDK4I, INK4B, MTS2, P15, TP15, p15INK4b",CDKN2B,9,22002903,22009305,-1
CHEK1,1111,ENST00000428830,NM_001274.5,ENST00000428830,NM_001274.5,TSG,5,Yes,Yes,Yes,Yes,Yes,No,No,CHK1,CHEK1,11,125625163,125676255,1
CRKL,1399,ENST00000354336,NM_005207.3,ENST00000354336,NM_005207.3,ONCOGENE,5,Yes,Yes,Yes,Yes,Yes,No,No,,CRKL,22,20917407,20953747,1
CYLD,1540,ENST00000398568,NM_001042355.1,ENST00000398568,NM_001042355.1,TSG,5,Yes,Yes,Yes,No,No,Yes,Yes,"CYLD1, KIAA0849, USPL2",CYLD,16,50742032,50801935,1
DOT1L,84444,ENST00000398665,NM_032482.2,ENST00000398665,NM_032482.2,ONCOGENE,5,Yes,Yes,Yes,Yes,Yes,No,No,"DOT1, KIAA1814, KMT4",DOT1L,19,2163933,2232578,1
EED,8726,ENST00000263360,NM_003797.3,ENST00000263360,NM_003797.3,TSG,5,Yes,Yes,Yes,Yes,Yes,No,No,"HEED, WAIT-1",EED,11,86201212,86279807,1
EIF4A2,1974,ENST00000323963,NM_001967.3,ENST00000323963,NM_001967.3,ONCOGENE,5,Yes,Yes,Yes,No,Yes,No,Yes,"BM-010, DDX2B",EIF4A2,3,186783205,186789901,1
EPHA3,2042,ENST00000336596,NM_005233.5,ENST00000336596,NM_005233.5,TSG,5,Yes,Yes,Yes,Yes,Yes,No,No,"ETK, ETK1, HEK, HEK4, TYRO4",EPHA3,3,89107522,89482437,1
EPHB1,2047,ENST00000398015,NM_004441.4,ENST00000398015,NM_004441.4,ONCOGENE_AND_TSG,5,Yes,Yes,Yes,Yes,Yes,No,No,"EPHT2, Hek6",EPHB1,3,134795260,135260467,1
ERCC4,2072,ENST00000311895,NM_005236.2,ENST00000311895,NM_005236.2,TSG,5,Yes,Yes,Yes,Yes,No,No,Yes,"FANCQ, XPF",ERCC4,16,13920138,13952348,1
ETV1,2115,ENST00000405192,NM_001163147.1,ENST00000405192,NM_001163147.1,ONCOGENE,5,Yes,Yes,Yes,No,Yes,No,Yes,ER81,ETV1,7,13891229,13991425,-1
FAS,355,ENST00000355740,NM_000043.4,ENST00000652046,NM_000043.6,TSG,5,Yes,No,Yes,Yes,Yes,No,Yes,"APO-1, APT1, CD95, FAS1, TNFRSF6",FAS,10,88953813,89029605,1
FGF19,9965,ENST00000294312,NM_005117.2,ENST00000294312,NM_005117.2,ONCOGENE,5,Yes,Yes,Yes,Yes,Yes,No,No,,FGF19,11,69698232,69704660,-1
FGF3,2248,ENST00000334134,NM_005247.2,ENST00000334134,NM_005247.2,ONCOGENE,5,Yes,Yes,Yes,Yes,Yes,No,No,"HBGF-3, INT2",FGF3,11,69809968,69819416,-1
FGF4,2249,ENST00000168712,NM_002007.2,ENST00000168712,NM_002007.2,ONCOGENE,5,Yes,Yes,Yes,Yes,Yes,No,No,"HBGF-4, HST, HST-1, HSTF1, K-FGF, KFGF",FGF4,11,69771022,69775341,-1
FH,2271,ENST00000366560,NM_000143.3,ENST00000366560,NM_000143.3,TSG,5,Yes,Yes,Yes,Yes,No,No,Yes,,FH,1,241497511,241519799,-1
FLT1,2321,ENST00000282397,NM_002019.4,ENST00000282397,NM_002019.4,ONCOGENE,5,Yes,Yes,Yes,Yes,Yes,No,No,"FLT, VEGFR1",FLT1,13,28300346,28495145,-1
FLT4,2324,ENST00000261937,NM_182925.4,ENST00000261937,NM_182925.4,ONCOGENE,5,Yes,Yes,Yes,No,Yes,No,Yes,"VEGFR-3, VEGFR3",FLT4,5,180601506,180649629,-1
FOXO1,2308,ENST00000379561,NM_002015.3,ENST00000379561,NM_002015.3,TSG,5,Yes,Yes,Yes,No,Yes,No,Yes,"FKH1, FKHR, FOXO1A",FOXO1,13,40555667,40667612,-1
FOXP1,27086,ENST00000318789,NM_001244814.1,ENST00000318789,NM_001244814.1,ONCOGENE_AND_TSG,5,Yes,Yes,Yes,No,Yes,No,Yes,"12CC4, HSPC215, QRF1, hFKH1B",FOXP1,3,70954693,71584009,-1
GRIN2A,2903,ENST00000330684,NM_001134407.1,ENST00000330684,NM_001134407.1,TSG,5,Yes,Yes,Yes,No,Yes,No,Yes,"GluN2A, NMDAR2A",GRIN2A,16,9753404,10183337,-1
GSK3B,2932,ENST00000316626,NM_002093.3,ENST00000316626,NM_002093.3,ONCOGENE,5,Yes,Yes,Yes,Yes,Yes,No,No,,GSK3B,3,119821321,120094994,-1
ID3,3399,ENST00000374561,NM_002167.4,ENST00000374561,NM_002167.4,TSG,5,Yes,Yes,Yes,Yes,Yes,No,No,"HEIR-1, bHLHb25",ID3,1,23557917,23559883,-1
IGF1R,3480,ENST00000268035,NM_000875.3,ENST00000650285,NM_000875.3,ONCOGENE,5,Yes,Yes,Yes,Yes,Yes,No,No,"CD221, IGFIR, IGFR, JTK13, MGC18216",IGF1R,15,98648539,98964530,1
IKBKE,9641,ENST00000367120,NM_014002.3,ENST00000581977,NM_014002.3,ONCOGENE,5,Yes,Yes,Yes,Yes,Yes,No,No,"IKK-i, IKKE, KIAA0151",IKBKE,1,206470332,206496891,1
IL7R,3575,ENST00000303115,NM_002185.3,ENST00000303115,NM_002185.3,ONCOGENE,5,Yes,Yes,Yes,No,Yes,No,Yes,"CD127, IL7RA",IL7R,5,35852695,35879603,1
INPP4B,8821,ENST00000262992,NM_001101669.1,ENST00000262992,NM_001101669.1,TSG,5,Yes,Yes,Yes,Yes,Yes,No,No,,INPP4B,4,142023160,142847432,-1
IRS2,8660,ENST00000375856,NM_003749.2,ENST00000375856,NM_003749.2,ONCOGENE,5,Yes,Yes,Yes,Yes,Yes,No,No,,IRS2,13,109752695,109786583,-1
KLF4,9314,ENST00000374672,NM_004235.4,ENST00000374672,NM_004235.4,ONCOGENE_AND_TSG,5,Yes,Yes,Yes,No,No,Yes,Yes,"EZF, GKLF",KLF4,9,107484852,107490482,-1
LMO1,4004,ENST00000335790,NM_002315.2,ENST00000335790,NM_002315.2,ONCOGENE,5,Yes,Yes,Yes,No,Yes,No,Yes,"RBTN1, RHOM1",LMO1,11,8224309,8268752,-1
MALT1,10892,ENST00000348428,NM_006785.3,ENST00000649217,NM_006785.3,INSUFFICIENT_EVIDENCE,5,Yes,Yes,Yes,No,Yes,No,Yes,"MLT, PCASP1",MALT1,18,58671426,58754477,1
MAP3K13,9175,ENST00000265026,NM_004721.4,ENST00000265026,NM_004721.4,ONCOGENE,5,Yes,Yes,Yes,Yes,No,No,Yes,"LZK, MEKK13",MAP3K13,3,185282941,185489094,1
MCL1,4170,ENST00000369026,NM_021960.4,ENST00000369026,NM_021960.4,ONCOGENE,5,Yes,Yes,Yes,Yes,Yes,No,No,"BCL2L3, Mcl-1",MCL1,1,150560895,150579738,-1
